mode,make,model,colour,offence,district,disposal,date,location
Vehicle driver,Volkswagen,SHARAN,BLACK,RT88575 Drive without due care and attention,LD,Educational Course,2022-12-01T00:00:00Z,"Princes Way, Bradford"
Vehicle driver,Ford,FOCUS,DARK GREY,RT88575 Drive without due care and attention,CD,Conditional Offer,2022-12-01T00:00:00Z,"Princess Avenue, Leeds"
Vehicle driver,Audi,A4,WHITE,N/A,LD,NFA,2022-12-01T00:00:00Z,"PROSPECT ROAD, LEADING TO CHURCH STREET, OSSETT"
Vehicle driver,BMW,330E,GREY,ME82009 Driving on hard shoulder of motorway,WD,Conditional Offer,2022-12-01T00:00:00Z,"Prune Park Lane, Bradford"
Vehicle driver,Renault,CLIO,SILVER,N/A,LD,NFA,2022-12-01T00:00:00Z,PUDSEY RING ROAD / PRIESTHORPE SCHOOL EXIT LEEDS
Vehicle driver,Vauxhall,ASTRA,SILVER,N/A,LD,NFA,2022-12-01T00:00:00Z,"PUDSEY RING ROAD, LEEDS"
Vehicle passenger,Jaguar,IPACE,GREY,RT88966 Motor vehicle fail to comply with endorsable S36 traffic sign,LD,Educational Course,2022-12-01T00:00:00Z,QUEEN SQUARE J/W PROVIDENCE PLACE
Cyclist,Audi,A5,BLACK,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2022-12-01T00:00:00Z,Queen Street J/W Park Place Leeds
Cyclist,Volvo,FH500,WHITE,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2022-12-01T00:00:00Z,Queen Street Leeds (LS1)
Vehicle driver,Mercedes -Benz,A CLASS,BLACK,N/A,LD,NFA,2022-12-01T00:00:00Z,QUEEN STREET LEEDS (LS1)
Vehicle driver,Ford,TRANSIT,WHITE,N/A,BD,NFA,2022-12-01T00:00:00Z,"Queen Street, Morley, Leeds"
Vehicle driver,Audi,A3,BLACK,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,BD,Educational Course,2022-12-01T00:00:00Z,"Queens Drive, Ossett"
Vehicle driver,Mercedes -Benz,C220,BLACK,RT88575 Drive without due care and attention,BD,Conditional Offer,2022-12-01T00:00:00Z,"Queens Square, Leeds city centre"
Cyclist,Porsche,BOXSTER,YELLOW,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2022-12-01T00:00:00Z,"Queens Square, Leeds city centre"
Cyclist,Volkswagen,GOLF,GREY,N/A,LD,NFA,2022-12-01T00:00:00Z,"QUEENS STREET junction YORK PLACE, LEEDS"
Cyclist,Renault,CAPTUR,GREY,N/A,LD,NFA,2022-12-01T00:00:00Z,"REDHILL DRIVE, AIRDALE, CASTLEFORD"
Vehicle driver,AlEXANDER DENNIS,BUS,TWO TONE BLUE,RT88751 Contravene Give Way sign,CD,Conditional Offer,2022-12-01T00:00:00Z,"REDHILL DRIVE, AIRDALE, CASTLEFORD"
Cyclist,Audi,A1,BLUE,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,LD,Educational Course,2022-12-01T00:00:00Z,REGENT STREET  J/W CROSS ROADS LEEDS
Cyclist,Ford,FIESTA,WHITE,N/A,LD,NFA,2022-12-01T00:00:00Z,Regent Street J/W Byron Street Leeds LS2 7JQ
Vehicle driver,Citroen,RELAY,WHITE,RT88575 Drive without due care and attention,WD,Educational Course,2022-12-01T00:00:00Z,"Regent Street, Leeds"
Horse rider,Mercedes -Benz,HGV,WHITE,RT88575 Drive without due care and attention,WD,Conditional Offer,2022-12-01T00:00:00Z,"Regent Street, Leeds"
Cyclist,Peugeot,PARTNER,WHITE,RV86019 Use a handheld phone / device whilst driving a motor vehicle on a road,WD,Conditional Offer,2022-12-01T00:00:00Z,"Regent Street, Leeds"
Cyclist,Citroen,DISPATCH,SILVER,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2022-12-01T00:00:00Z,"Regent Street, Leeds"
Cyclist,Audi,A1,BLUE,N/A,LD,NFA,2022-12-01T00:00:00Z,"Rein Road, Leeds"
Vehicle driver,Citroen,C3,GREY,RT88575 Drive without due care and attention,LD,Conditional Offer,2022-12-01T00:00:00Z,RIDDLESDEN KEIGHLEY
Vehicle driver,Volkswagen,GOLF,BLACK,N/A,KD,NFA,2022-12-01T00:00:00Z,"Rigton Bank, Bardsey (Leeds)"
Cyclist,Volkswagen,TOUAREG,GREY,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2022-12-01T00:00:00Z,"Ring Road J/W Northumberland Street, Huddersfield"
Cyclist,SCANIA,RIGID,BLUE YELLOW,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2022-12-01T00:00:00Z,"Ring Road, Calverley, Leeds"
Cyclist,Jaguar,F PACE,BLACK,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2022-12-01T00:00:00Z,"Ring Road, Pudsey"
Vehicle driver,Mercedes -Benz,SPRINTER,WHITE VAN,RC86814 Driver not in proper control of vehicle,LD,Educational Course,2022-12-01T00:00:00Z,Ringroad - White Rose Roundabout Leeds
Cyclist,Kia,SOULMIXX,WHITE,RT88576 Drive without reasonable consideration to others,WD,Educational Course,2022-12-01T00:00:00Z,"Rochdale Road, Greetland, Halifax"
Pedestrian,Seat,IBIZA,BLUE,RT88575 Drive without due care and attention,WD,Educational Course,2022-12-01T00:00:00Z,"Rochdale Road, Greetland, Halifax"
Cyclist,Ford,FOCUS,BLACK,RT88508 Leave vehicle/trailer in dangerous position,BD,Educational Course,2022-12-01T00:00:00Z,"Rochdale Road, Greetland, Halifax"
Cyclist,Nissan,NAVARA,GREY,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2022-12-01T00:00:00Z,"Rochdale Road, Halifax"
Vehicle driver,Mercedes -Benz,SPRINTER,WHITE,RT88575 Drive without due care and attention,WD,Educational Course,2022-12-01T00:00:00Z,"Rochdale Road, Halifax"
Vehicle driver,Volkswagen,GOLF,SILVER,RT88971 Fail to comply with Red traffic light,LD,Educational Course,2022-12-01T00:00:00Z,Rochdale Road. Sowerby Bridge
Vehicle driver,BMW,M4,BLUE,RT88575 Drive without due care and attention,WD,Educational Course,2022-12-01T00:00:00Z,"ROMAN AVENUE junction with A6120 RING ROAD, ROUNDHAY"
Vehicle driver,BMW,M2,WHITE,RT88575 Drive without due care and attention,WD,Educational Course,2022-12-01T00:00:00Z,"ROMAN AVENUE junction with A6120 RING ROAD, ROUNDHAY"
Vehicle driver,Peugeot,208,BLACK,RT88575 Drive without due care and attention,LD,Educational Course,2022-12-01T00:00:00Z,Roman Gardens Leeds
Cyclist,Volkswagen,SHARAN,BLUE,N/A,LD,NFA,2022-12-01T00:00:00Z,Rooley Lane Bradford
Pedestrian,Seat,IBIZA,WHITE,RT88751 Contravene Give Way sign,KD,Conditional Offer,2022-12-01T00:00:00Z,ROOLEY LANE BRADFORD
Pedestrian,Mercedes -Benz,SPRINTER,GREEN,RT88966 Motor vehicle fail to comply with endorsable S36 traffic sign,KD,Educational Course,2022-12-01T00:00:00Z,"ROOLEY LANE, BRADFORD"
Vehicle driver,Seat,UNKNOWN,BLACK,N/A,BD,NFA,2022-12-01T00:00:00Z,"Rooley Lane, Bradford"
Cyclist,BMW,UNKNOWN,WHITE,N/A,LD,NFA,2022-12-01T00:00:00Z,ROTHWELL
Cyclist,Ford,TRANSIT,WHITE,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2022-12-01T00:00:00Z,"Roundabout A6120 Ring Road, Rodley, Leeds"
Pedestrian,UPS,DELIVERY VAN,BROWN,N/A,unknown,NFA,2022-12-01T00:00:00Z,"Roundabout A650 Wakefield Road, Gildersome, Leeds"
Cyclist,Mercedes -Benz,GLA 180,GREY,RT88576 Drive without reasonable consideration to others,BD,Educational Course,2022-12-01T00:00:00Z,"Roundabout junction 42 M1, Lofthouse"
Vehicle driver,Hyundai,I20,BLUE,RT88575 Drive without due care and attention,BD,Conditional Offer,2022-12-01T00:00:00Z,"Roundabout junction A6110 Ring Road and Whitehall Road, Leeds"
Vehicle driver,Maserati,SPRINTER,WHITE,RT88575 Drive without due care and attention,KD,Educational Course,2022-12-01T00:00:00Z,"Roundabout junction A6120 Ring Road and A657 Rodley Lane, Rodley, Leeds"
Vehicle driver,MoTOR,SCOOTER,UNKNOWN,N/A,WD,NFA,2022-12-01T00:00:00Z,"Roundabout junction of Sir Fred Hoyle Way and Bradford Road, Bingley"
Cyclist,Peugeot,UNKNOWN,WHITE,N/A,BD,NFA,2022-12-01T00:00:00Z,Roundabout M606 junction M62
Vehicle driver,BMW,330D,BLACK,RT88575 Drive without due care and attention,LD,Educational Course,2022-12-01T00:00:00Z,"Roundabout, Gelderd Road, Birstall"
Pedestrian,Seat,LEON,RED,N/A,unknown,NFA,2022-12-01T00:00:00Z,"Roundabout, junction 32 M62, Castleford"
Cyclist,Peugeot,EXPERT,RED,N/A,LD,NFA,2022-12-01T00:00:00Z,"Roundabout, Junction 40, M1, Wakefield"
Pedestrian,Volkswagen,TIGUAN,WHITE,RC86405 Cause unnecessary obstruction by motor vehicle/trailer,WD,Conditional Offer,2022-12-01T00:00:00Z,"Roundabout, William Parkin Way, Thorpe Park, Leeds"
Cyclist,Skoda,OCTAVIA,SILVER,RT88576 Drive without reasonable consideration to others,BD,Educational Course,2022-12-01T00:00:00Z,"ROUNDHAY ROAD junction with HAREHILLS LANE, LEEDS"
Cyclist,Volkswagen,POLO,GREY,RT88576 Drive without reasonable consideration to others,BD,Educational Course,2022-12-01T00:00:00Z,"ROUNDHAY ROAD, LEEDS"
UNKNOWN,Audi,A1,WHITE,N/A,BD,NFA,2022-12-01T00:00:00Z,"ROUNDHAY ROAD, LEEDS"
Pedestrian,Ford,TRANSIT,SILVER,N/A,KD,NFA,2022-12-01T00:00:00Z,"Roundhay Road, Leeds"
Vehicle driver,Volvo,UNKNOWN,BLACK,N/A,BD,NFA,2022-12-01T00:00:00Z,"Roundhay Road, Leeds"
Vehicle driver,Seat,IBIZA,BLACK,RT88575 Drive without due care and attention,LD,Educational Course,2022-12-01T00:00:00Z,"Roundhay Road, Leeds, junction Harehills Lane"
Vehicle driver,Peugeot,307,BLACK,RT88575 Drive without due care and attention,CD,Conditional Offer,2022-12-01T00:00:00Z,"Roundhay Road, Sheepscar, Leeds"
Cyclist,Toyota,COROLLA,BLACK,RT88575 Drive without due care and attention,LD,Conditional Offer,2022-12-01T00:00:00Z,"Roundwood Road, Baildon"
Cyclist,Mitsubishi,SHOGAN,SILVER,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2022-12-01T00:00:00Z,Rowley Lane HD8 0JD
Horse rider,Ford,TRANSIT,SILVER,RT88575 Drive without due care and attention,LD,Educational Course,2022-12-01T00:00:00Z,"rthington Lane, Arthington, Leeds"
Cyclist,BMW,UNKNOWN,BLACK,N/A,BD,NFA,2022-12-01T00:00:00Z,"Saddleowrth Road, Greetland, Elland"
Cyclist,Ford,MONDEO,SILVER,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2022-12-01T00:00:00Z,"Saltaire Road, Shipley"
Cyclist,Vauxhall,CORSA,SILVER,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2022-12-01T00:00:00Z,"Saltaire Road, Shipley, Bradford"
Cyclist,Vauxhall,ASTRA,BLACK,RT88575 Drive without due care and attention,LD,Educational Course,2022-12-01T00:00:00Z,"Savile Road J/W Mill Street West, Dewsbury"
Cyclist,Peugeot,107,SILVER,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2022-12-01T00:00:00Z,"SAVINS MILL LANE, KIRKSTALL, LEEDS"
Cyclist,Seat,IBIZA,GREY,N/A,LD,NFA,2022-12-01T00:00:00Z,"Scarlet Heights, Bradford"
Vehicle driver,Volkswagen,GOLF,BLACK,RT88575 Drive without due care and attention,LD,Conditional Offer,2022-12-01T00:00:00Z,"Scotchman Lane, Morley"
Cyclist,Volkswagen,TOUAREG,BLACK,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2022-12-01T00:00:00Z,"Scotchman Lane, Morley, Leeds"
Vehicle driver,Vauxhall,VIVARO,WHITE,RT88575 Drive without due care and attention,LD,Educational Course,2022-12-01T00:00:00Z,"Scotchman Lane, Morley, Leeds"
Vehicle driver,Vauxhall,CORSA,WHITE,N/A,LD,NFA,2022-12-01T00:00:00Z,"SCOTT HALL ROAD junction with POTTERNEWTON LANE, LEEDS"
Vehicle driver,Mercedes -Benz,LORRY,WHITE,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,LD,Educational Course,2022-12-01T00:00:00Z,Scott Hall Road Leeds
Vehicle driver,Vauxhall,GRANDLAND,WHITE,RT88971 Fail to comply with Red traffic light,LD,Educational Course,2022-12-01T00:00:00Z,"Scott Hall Road, Leeds"
Vehicle driver,Volkswagen,GOLF,WHITE,N/A,LD,NFA,2022-12-01T00:00:00Z,"Scott Hall Road, Stainbeck, Leeds"
Vehicle driver,Dacia,SANDERO,BLUE,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2022-12-01T00:00:00Z,"Scott Hall Road, Stainbeck, Leeds"
Cyclist,Alfa Romeo,MITO,RED,RT88576 Drive without reasonable consideration to others,KD,Educational Course,2022-12-01T00:00:00Z,Scotthall Road J/W Stainbeck lane roundabout - Leeds
Cyclist,Peugeot,208,WHITE,RT88576 Drive without reasonable consideration to others,KD,Educational Course,2022-12-01T00:00:00Z,"Selby Road, Halton, Leeds"
Vehicle driver,Seat,LEON,BLACK,N/A,LD,NFA,2022-12-01T00:00:00Z,"SELBY ROAD, LEEDS"
Vehicle driver,Honda,JAZZ,GREY,ZP97004 Fail to comply with Red Light Pelican crossing,LD,Educational Course,2022-12-01T00:00:00Z,"Selby Road, Whitkirk, Leeds"
Cyclist,BMW,1 SERIES,WHITE,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2022-12-01T00:00:00Z,"SHADWELL LANE, LEEDS"
Cyclist,Renault,MEGANE,RED,RT88576 Drive without reasonable consideration to others,CD,Educational Course,2022-12-01T00:00:00Z,"Shaw Lane, Headingley, Leeds"
Cyclist,Mercedes -Benz,A CLASS,BLACK,N/A,CD,NFA,2022-12-01T00:00:00Z,"SHAW LANE, HEADINGLEY, LEEDS"
Vehicle driver,Toyota,AURIS,WHITE,RT88575 Drive without due care and attention,LD,Educational Course,2022-12-01T00:00:00Z,"SHAW LANE, KEIGHLEY"
Vehicle driver,Ford,FIESTA,GREY,RT88575 Drive without due care and attention,WD,Educational Course,2022-12-01T00:00:00Z,"SHAW LANE, KEIGHLEY"
Vehicle driver,Suzuki,GSXS,BLACK,RT88575 Drive without due care and attention,KD,Conditional Offer,2022-12-01T00:00:00Z,"Shay Lane, Halifax"
Vehicle driver,Mercedes -Benz,A180,WHITE,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,LD,Educational Course,2022-12-01T00:00:00Z,Shelley Woodhouse Lane Huddersfield
Horse rider,Mini,ONE,BLACK,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2022-12-01T00:00:00Z,"SHIPLEY AIRDALE ROAD, BRADFORD."
Horse rider,Nissan,MICRA,WHITE,N/A,LD,NFA,2022-12-01T00:00:00Z,"Shipley Airedale Road, Bradford"
Cyclist,SsangYong,KORANDO ULTIMATE AUTO,BLACK,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2022-12-01T00:00:00Z,"Silver Lane, Yeadon"
Cyclist,Mercedes -Benz,GLC220,BLUE,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2022-12-01T00:00:00Z,"Silver Street, Aspley, Huddersfield"
Horse rider,Audi,A3,BLACK,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2022-12-01T00:00:00Z,SKIPTON ROAD Towards Keighley
Vehicle driver,Audi,A6,GREY,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,LD,Educational Course,2022-12-01T00:00:00Z,"SKIPTON ROAD, KEIGHLEY"
Pedestrian,Vauxhall,VIVARO,GREY,N/A,LD,NFA,2022-12-01T00:00:00Z,"Skipton Road, Utley, Keighley"
Pedestrian,Vauxhall,CORSA,BLACK,N/A,unknown,NFA,2022-12-01T00:00:00Z,"Slip road from M62 East to A1M North, Ferrybridge"
Vehicle driver,Ford,FIESTA,WHITE,RT88751 Contravene Give Way sign,LD,Conditional Offer,2022-12-01T00:00:00Z,"SMAWTHORPE LANE, PONTEFRACT"
Cyclist,Unknown,UNKNOWN,BLACK,N/A,BD,NFA,2022-12-01T00:00:00Z,"Smiddles Lane, Bradford"
Cyclist,Mercedes -Benz,C220,BLACK,RT88576 Drive without reasonable consideration to others,BD,Educational Course,2022-12-01T00:00:00Z,"SMITHIES MOOR LANE junction with HUDDERSFIELD ROAD, BIRSTALL"
Vehicle driver,ISUZU,D-MAX,BLUE,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,LD,Educational Course,2022-12-01T00:00:00Z,"Somerset Road, Huddersfield"
Vehicle driver,Vauxhall,ASTRA,BLACK,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,KD,Educational Course,2022-12-01T00:00:00Z,"SOMERSET ROAD, HUDDERSFIELD"
Vehicle driver,Vauxhall,ASTRA,GREEN,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,WD,Educational Course,2022-12-01T00:00:00Z,"SOMERSET ROAD, HUDDERSFIELD"
Vehicle driver,Volkswagen,GOLF,BLUE,RT88966 Motor vehicle fail to comply with endorsable S36 traffic sign,WD,Educational Course,2022-12-01T00:00:00Z,"SOOTHILL LANE, BATLEY"
Pedestrian,Kia,SPORTAGE,WHITE,RT88575 Drive without due care and attention,WD,Educational Course,2022-12-01T00:00:00Z,"Southbound entry slip, junction 42 M1, Lofthouse"
Pedestrian,Kia,SPORTAGE,WHITE,N/A,WD,NFA,2022-12-01T00:00:00Z,"Southowram Bank, Halifax"
Pedestrian,Kia,SPORTAGE,WHITE,N/A,unknown,NFA,2022-12-01T00:00:00Z,"SPA STREET junction SPRING END ROAD, OSSETT"
Vehicle driver,Porsche,CAYENNE,BLUE,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,LD,Educational Course,2022-12-01T00:00:00Z,"Spital Hardwick Lane, Pontefract"
Cyclist,Vauxhall,ASTRA,BLUE,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2022-12-01T00:00:00Z,"Spittal Hardwick Lane, Pontefract"
Cyclist,Ford,FIESTA,BLACK,N/A,LD,NFA,2022-12-01T00:00:00Z,"Spring Hall Lane, Halifax"
Cyclist,BMW,116I,WHITE,RV86019 Use a handheld phone / device whilst driving a motor vehicle on a road,LD,Conditional Offer,2022-12-01T00:00:00Z,"Spring Lane, Bingley"
Cyclist,Peugeot,208,BLACK,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2022-12-01T00:00:00Z,"Springwood Road, Holmfirth"
Cyclist,Toyota,CORROLA,BLACK,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2022-12-01T00:00:00Z,"Sprokhovel Way, Hemsworth, Pontefract"
Horse rider,Toyota,AURIS,WHITE,RT88576 Drive without reasonable consideration to others,BD,Educational Course,2022-12-01T00:00:00Z,"Squire Lane, Bradford"
Pedestrian,Rolls -Royce,UNKNOWN,BLACK,N/A,WD,NFA,2022-12-01T00:00:00Z,"Squire Lane, Bradford"
Vehicle driver,Mercedes -Benz,UNKNOWN,WHITE,N/A,WD,NFA,2022-12-01T00:00:00Z,"Squire Lane, Bradford"
Cyclist,Fiat,DUCATO,BLUE,RT88576 Drive without reasonable consideration to others,WD,Educational Course,2022-12-01T00:00:00Z,"Squire Lane, Bradford"
Cyclist,Fiat,DUCATO,BLUE,N/A,WD,NFA,2022-12-01T00:00:00Z,"ST ANDREWS ROAD, HUDDERSFIELD"
Cyclist,Volvo,D31,BLACK,N/A,WD,NFA,2022-12-01T00:00:00Z,"St Annes Road, Headingley"
Vehicle driver,Hyundai,I10SE,BLUE,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,BD,Educational Course,2022-12-01T00:00:00Z,"St Anne's Road, Headingley, Leeds"
Cyclist,Volkswagen,GOLF,RED,RT88576 Drive without reasonable consideration to others,BD,Educational Course,2022-12-01T00:00:00Z,"St John Parade, Dewsbury"
Cyclist,IVECO,TRUCK,WHITE,RT88576 Drive without reasonable consideration to others,BD,Educational Course,2022-12-01T00:00:00Z,St Michaels Road J/W Cardigan Road Headingley Leeds
Vehicle driver,Toyota,AVENSIS,WHITE,N/A,LD,NFA,2022-12-01T00:00:00Z,"St Peg Lane, Cleckheaton"
Cyclist,Peugeot,BOXER,WHITE,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2022-12-01T00:00:00Z,"Stainbeck Lane, Leeds"
Cyclist,Seat,IBIZA,SILVER,RT88576 Drive without reasonable consideration to others,BD,Educational Course,2022-12-01T00:00:00Z,Stainbeck Road J/W Potternewton Lane Leeds
Cyclist,Mercedes -Benz,SPRINTER,SILVER,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2022-12-01T00:00:00Z,STAINBECK ROAD LEEDS
Pedestrian,Peugeot,2008,GREY,RT88966 Motor vehicle fail to comply with endorsable S36 traffic sign,KD,Educational Course,2022-12-01T00:00:00Z,Stainbeck Road Leeds
Horse rider,Honda,JAZZ,SILVER,N/A,KD,NFA,2022-12-01T00:00:00Z,"STAINBECK ROAD, LEEDS"
Vehicle driver,Seat,LEON,BLACK,RT88575 Drive without due care and attention,LD,Educational Course,2022-12-01T00:00:00Z,"Stainbeck Road, Leeds"
Vehicle driver,Mercedes -Benz,UNKNOWN,SILVER,N/A,BD,NFA,2022-12-01T00:00:00Z,"STAINBECK ROAD, LEEDS"
Vehicle driver,Hyundai,I30,BLUE,RT88575 Drive without due care and attention,KD,Conditional Offer,2022-12-01T00:00:00Z,"STAINBECK ROAD, LEEDS"
Vehicle driver,Volkswagen,GOLF,GREY,ZP97005 Overtake within limits of Pelican crossing,LD,Educational Course,2022-12-01T00:00:00Z,"Stainbeck Road, Leeds"
Cyclist,Vauxhall,COMBO,BLACK,RT88576 Drive without reasonable consideration to others,BD,Educational Course,2022-12-01T00:00:00Z,"STANNINGLEY ROAD, BRAMLEY, LEEDS"
Cyclist,Hyundai,TUCSON,GREY,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2022-12-01T00:00:00Z,"Stanningly Road, Stanningly, Leeds"
Cyclist,Mercedes -Benz,SPRINTER,SILVER,RT88575 Drive without due care and attention,WD,Educational Course,2022-12-01T00:00:00Z,"Station Road, Baildon"
Cyclist,Mini,COOPER,GREEN,RT88576 Drive without reasonable consideration to others,WD,Educational Course,2022-12-01T00:00:00Z,"Station Road, Guiseley"
Pedestrian,Ford,TRANSIT,WHITE,RT88966 Motor vehicle fail to comply with endorsable S36 traffic sign,KD,Educational Course,2022-12-01T00:00:00Z,"Station Road, Morley, Leeds"
Vehicle driver,DaF,TRUCK,WHITE,N/A,WD,NFA,2022-12-01T00:00:00Z,"Sticker Lane, Bradford"
Horse rider,BMW,420,WHITE,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2022-12-01T00:00:00Z,"Sticker Lane, Bradford"
Pedestrian,Nissan,QASHQAI,BLUE,RT88576 Drive without reasonable consideration to others,LD,Conditional Offer,2022-12-01T00:00:00Z,"Stocks Hill, junction with Chapel Lane, Leeds"
Vehicle driver,Nissan,NOTE,BLACK,RT88971 Fail to comply with Red traffic light,LD,Conditional Offer,2022-12-01T00:00:00Z,"STONEGATE ROAD, LEEDS"
Vehicle driver,Volkswagen,GOLF,GREY,RT88575 Drive without due care and attention,KD,Conditional Offer,2022-12-01T00:00:00Z,"STONEGATE ROAD, LEEDS"
Cyclist,Ford,FOCUS,RED,RT88971 Fail to comply with Red traffic light,LD,Educational Course,2022-12-01T00:00:00Z,"Stonegate Road, Meanwood, Leeds"
Cyclist,Mercedes -Benz,400,BLACK,RT88576 Drive without reasonable consideration to others,BD,Educational Course,2022-12-01T00:00:00Z,"Stourton Interchange, Stourton, Leeds"
Cyclist,Ford,MONDEO,BLACK,RT88576 Drive without reasonable consideration to others,BD,Educational Course,2022-12-01T00:00:00Z,Studio Road Leeds
Pedestrian,Jaguar,XF,BLACK,N/A,WD,NFA,2022-12-01T00:00:00Z,"Sun Street, Keighley"
Pedestrian,Nissan,JUKE,RED,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2022-12-01T00:00:00Z,"SUNNYBANK ROAD, MIRFIELD"
Vehicle driver,Ford,TRANSIT,WHITE,RT88575 Drive without due care and attention,KD,Educational Course,2022-12-01T00:00:00Z,"Tesco Extra, Batley"
Vehicle driver,Skoda,OCTAVIA,WHITE,N/A,LD,NFA,2022-12-01T00:00:00Z,"THE CALLS junction with CALL LANE, LEEDS"
Vehicle driver,Volkswagen,POLO,SILVER,RT88575 Drive without due care and attention,LD,Educational Course,2022-12-01T00:00:00Z,"THE CALLS, LEEDS"
Vehicle driver,Ford,TRANSIT,SILVER,RT88971 Fail to comply with Red traffic light,CD,Educational Course,2022-12-01T00:00:00Z,"THE CALLS, LEEDS"
Vehicle driver,Ford,RANGER,WHITE,N/A,WD,NFA,2022-12-01T00:00:00Z,THE HEADROW LEEDS
Vehicle driver,Nissan,QASHQAI,BLUE,RT88971 Fail to comply with Red traffic light,WD,Educational Course,2022-12-01T00:00:00Z,"The Headrow, Leeds city centre"
Vehicle passenger,Audi,UNSURE,WHITE,N/A,LD,NFA,2022-12-01T00:00:00Z,"Thorn Lane, Bradford"
Vehicle driver,Nissan,QASHQAI,WHITE,RT88971 Fail to comply with Red traffic light,KD,Educational Course,2022-12-01T00:00:00Z,"Thornes Road, Wakefield"
Cyclist,Volkswagen,GOLF,WHITE,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2022-12-01T00:00:00Z,"THORNTON ROAD junction with ALLERTON ROAD, BRADFORD"
Cyclist,Hyundai,ICONIC,BLACK,N/A,LD,NFA,2022-12-01T00:00:00Z,"Thornton Road, Bradford"
Cyclist,Nissan,QASHQAI,SILVER/GREY,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2022-12-01T00:00:00Z,"THORNTON ROAD, BRADFORD"
Pedestrian,Land Rover,RANGE ROVER,BLACK,N/A,unknown,NFA,2022-12-01T00:00:00Z,"THORNTON ROAD, BRADFORD"
Vehicle passenger,Nissan,QASHQAI,BLACK,N/A,WD,NFA,2022-12-01T00:00:00Z,"THORNTON ROAD, BRADFORD"
Vehicle driver,Volkswagen,UP,RED,N/A,LD,NFA,2022-12-01T00:00:00Z,"Thornton Road, Bradford"
Vehicle driver,Suzuki,UNKNOWN,BLUE,N/A,CD,NFA,2022-12-01T00:00:00Z,"THORNTON ROAD, BRADFORD"
Vehicle driver,Lexus,CT,BLUE,RT88751 Contravene Give Way sign,CD,Conditional Offer,2022-12-01T00:00:00Z,"THORNTON ROAD, BRADFORD"
Vehicle driver,Audi,UNKNOWN,WHITE,N/A,LD,NFA,2022-12-01T00:00:00Z,"THORNTON ROAD, BRADFORD"
Vehicle driver,Ford,FOCUS,BLUE,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,LD,Educational Course,2022-12-01T00:00:00Z,"THORNTON ROAD, THORNTON, BRADFORD"
Vehicle driver,Renault,KANGO,WHITE,N/A,CD,NFA,2022-12-01T00:00:00Z,"Thorpe Lane, Middleton, Leeds"
Vehicle passenger,RoVER,418,WHITE,RT88575 Drive without due care and attention,CD,Educational Course,2022-12-01T00:00:00Z,"Thorpe Lane, Tingley, Leeds"
Cyclist,Renault,CLIO,BLACK,RT88576 Drive without reasonable consideration to others,BD,Educational Course,2022-12-01T00:00:00Z,"Thorpe Lower Lane, Wakefield"
UNKNOWN,Unknown,Unknown,Unknown,N/A,CD,NFA,2022-12-01T00:00:00Z,"Toller Lane, Bradford"
