mode,make,model,colour,offence,district,disposal,date,location
Cyclist,Toyota,AYGO,SILVER,RT88576 Drive without reasonable consideration to others,BD,Educational Course,2023-10-01T00:00:00Z,"A61 Harrogate Road, Moortown, Leeds"
Cyclist,Skoda,OCTAVIA,BLUE,RT88576 Drive without reasonable consideration to others,BD,Educational Course,2023-10-01T00:00:00Z,"A61 HUNSLET DISTRIBUTOR ROAD, LEEDS"
Cyclist,Kia,PICANTO,WHITE,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2023-10-01T00:00:00Z,"A61 HUNSLET, LEEDS"
Cyclist,Mercedes -Benz,E 220 D,SILVER,RV86019 Use a handheld phone / device whilst driving a motor vehicle on a road,LD,Conditional Offer,2023-10-01T00:00:00Z,A61 KIRKGATE WAKEFIELD
Cyclist,Volkswagen,XC90,BLACK,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2023-10-01T00:00:00Z,"A61 Manchester Road, Linthwaite, Huddersfield"
Vehicle driver,Volkswagen,GOLF,SILVER,RT88575 Drive without due care and attention,KD,Educational Course,2023-10-01T00:00:00Z,"A61 Marsh Way, Wakefield"
Cyclist,Toyota,AURIS,SILVER,RT88575 Drive without due care and attention,LD,Educational Course,2023-10-01T00:00:00Z,"A61 Regent Street, Leeds"
Vehicle driver,DaF,THERMO KING,WHITE,N/A,WD,NFA,2023-10-01T00:00:00Z,"A61 Wakefield Road, Rothwell, Leeds"
Vehicle driver,Volkswagen,TIGUAN,SILVER,RT88575 Drive without due care and attention,WD,Educational Course,2023-10-01T00:00:00Z,"A61, Hunslet, Leeds"
Vehicle driver,Audi,A5,GREY,RT88575 Drive without due care and attention,LD,Educational Course,2023-10-01T00:00:00Z,A61/A6120 Roundabout
Vehicle driver,Suzuki,SWIFT,BLACK,RT88575 Drive without due care and attention,WD,Educational Course,2023-10-01T00:00:00Z,"A6110 RING ROAD junction with MANOR MILL LANE, LEEDS"
Vehicle driver,Unknown,UNKNOWN,GREY,N/A,unknown,NFA,2023-10-01T00:00:00Z,"A6110 Ring Road, Farnley, Leeds"
Cyclist,Citroen,RELAY,WHITE,N/A,KD,NFA,2023-10-01T00:00:00Z,"A6110 Ring Road, Leeds"
Cyclist,Honda,CIVIC,BLUE,N/A,LD,NFA,2023-10-01T00:00:00Z,"A6110 RING ROAD, ROYDS BECK, LEEDS"
Vehicle driver,Volkswagen,GOLF,GREY,N/A,WD,NFA,2023-10-01T00:00:00Z,"A6120 J/W Fink Hill, Leeds"
Vehicle driver,WRIGHT,BUS,GREEN,N/A,LD,NFA,2023-10-01T00:00:00Z,A6120 RING ROAD LEEDS J/W BRADFORD ROAD
Vehicle driver,BMW,1 SERIES,ORANGE,N/A,unknown,NFA,2023-10-01T00:00:00Z,"A6120 Ring Road, Moortown, Leeds"
Cyclist,Volkswagen,TIGUAN,BLACK,RT88575 Drive without due care and attention,LD,Educational Course,2023-10-01T00:00:00Z,"A6120 William Parkin Way, Colton, Leeds"
Vehicle driver,Volkswagen,GOFL,WHITE,RT88575 Drive without due care and attention,BD,Educational Course,2023-10-01T00:00:00Z,"A6120 William Parkin Way, Manston, Leeds"
Cyclist,Vauxhall,ASTRA,BLACK,N/A,unknown,NFA,2023-10-01T00:00:00Z,"A616 Berry Brow, Huddersfield"
Vehicle driver,Mercedes -Benz,VITO,BLACK,N/A,BD,NFA,2023-10-01T00:00:00Z,A616 Honley
Cyclist,DaF TRUCKS,UNKNOWN,WHITE,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2023-10-01T00:00:00Z,"A616 New Mill Road, Huddersfield"
Cyclist,Toyota,HILUX,SILVER,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2023-10-01T00:00:00Z,"A616 Woodhead Road, Huddersfield"
Pedestrian,Toyota,AURIS,BRONZE,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,LD,Educational Course,2023-10-01T00:00:00Z,"A6177 (Westbound), Bradford"
Cyclist,Ford,TRANSIT,BLACK,RT88576 Drive without reasonable consideration to others,KD,Educational Course,2023-10-01T00:00:00Z,"A6177 Staithgate Roundabout, Bradford"
Vehicle driver,Land Rover,RANGE ROVER EVOQUE,WHITE,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,LD,Educational Course,2023-10-01T00:00:00Z,A62 A650 Gildersome Roundabout
Cyclist,Mercedes -Benz,EQV400,Black,N/A,LD,NFA,2023-10-01T00:00:00Z,"A62 BRADLEY, HUDDERSFIELD"
Cyclist,Volkswagen,Passat,Black,RT88575 Drive without due care and attention,LD,Educational Course,2023-10-01T00:00:00Z,"A62 Gelderd Road, Birstall"
Cyclist,Honda,CR-V,Grey,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2023-10-01T00:00:00Z,"A62 GELDERD ROAD, LEEDS"
Vehicle driver,Audi,Q5,Black,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,BD,Educational Course,2023-10-01T00:00:00Z,"A62 Huddersfield Road, Birstall"
Vehicle driver,Volvo,XC40,White,RT88575 Drive without due care and attention,KD,Court,2023-10-01T00:00:00Z,"A62 Leeds Road, Huddersfield"
Vehicle driver,BMW,330D,Black,RT88576 Drive without reasonable consideration to others,WD,Educational Course,2023-10-01T00:00:00Z,"A62 Leeds Road, Mirfield"
Pedestrian,Land Rover,Discovery,Blue,N/A,LD,NFA,2023-10-01T00:00:00Z,"A62 MANCHESTER ROAD, HUDDERSFIELD"
Horse rider,Land Rover,Unknown,Blue,N/A,CD,NFA,2023-10-01T00:00:00Z,"A62 MANCHESTER ROAD, LINTHWAITE, HUDDERSFIELD"
Vehicle driver,Kia,Sportage,Silver,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,LD,Educational Course,2023-10-01T00:00:00Z,"A62 MARSDEN, HUDDERSFIELD"
Cyclist,Mercedes -Benz,C180,Black,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2023-10-01T00:00:00Z,A628 PONTEFRACT ROAD ACKWORTH - WAKEFIELD
Vehicle passenger,Hyundai,I30,Blue,N/A,CD,NFA,2023-10-01T00:00:00Z,"A629 Calderdale Way, Halifax"
Vehicle driver,Nissan,Juke,White,N/A,KD,NFA,2023-10-01T00:00:00Z,A629 CASTLEFORD INTERCHANGE
Vehicle driver,Volkswagen,Golf,Blue,RT88576 Drive without reasonable consideration to others,WD,Educational Course,2023-10-01T00:00:00Z,A629 HALIFAX
Vehicle driver,Vauxhall,Corsa,Red,RT88576 Drive without reasonable consideration to others,WD,Educational Course,2023-10-01T00:00:00Z,A629 HALIFAX
Vehicle driver,Renault,SCENIC,SILVER,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,KD,Educational Course,2023-10-01T00:00:00Z,"A629 Halifax Road, Crossroads, Keighley"
